category,text
Politics,"In a Truth Social rage-post, Donald Trump launched the mother of all screamy-all-caps rants against mail-in voting following his claim that Russian dictator Vladimir Putin, who is a master of rigging elections, told him ""your election was rigged because you have mail-in voting."" Whether that's true or not is difficult to determine since Putin changed the electoral laws in 2020 to allow mail-in voting. The poor slob can't get past losing the election to Handsome Old Joe Biden.  All of this is bullshit, of course: ""I am going to lead a movement to get rid of MAIL-IN BALLOTS, and also, while we’re at it, Highly “Inaccurate,” Very Expensive, and Seriously Controversial VOTING MACHINES, which cost Ten Times more than accurate and sophisticated Watermark Paper, which is faster, and leaves NO DOUBT, at the end of the evening, as to who WON, and who LOST, the Election,"" he wrote. ""We are now the only Country in the World that uses Mail-In Voting."" That is a lie. Canada, the UK, Australia, Germany, Switzerland, India, Japan, and New Zealand would like to have a word.  ""All others gave it up because of the MASSIVE VOTER FRAUD ENCOUNTERED,"" he falsely said. ""WE WILL BEGIN THIS EFFORT, WHICH WILL BE STRONGLY OPPOSED BY THE DEMOCRATS BECAUSE THEY CHEAT AT LEVELS NEVER SEEN BEFORE, by signing an EXECUTIVE ORDER to help bring HONESTY to the 2026 Midterm Elections. Remember, the States are merely an “agent” for the Federal Government in counting and tabulating the votes. They must do what the Federal Government, as represented by the President of the United States, tells them, FOR THE GOOD OF OUR COUNTRY, to do."" ""With their HORRIBLE Radical Left policies, like Open Borders, Men Playing in Women’s Sports, Transgender and “WOKE” for everyone, and so much more, Democrats are virtually Unelectable without using this completely disproven Mail-In SCAM,"" he continued. ""ELECTIONS CAN NEVER BE HONEST WITH MAIL IN BALLOTS/VOTING, and everybody, IN PARTICULAR THE DEMOCRATS, KNOWS THIS."" ""I, AND THE REPUBLICAN PARTY, WILL FIGHT LIKE HELL TO BRING HONESTY AND INTEGRITY BACK TO OUR ELECTIONS,"" he added. ""THE MAIL-IN BALLOT HOAX, USING VOTING MACHINES THAT ARE A COMPLETE AND TOTAL DISASTER, MUST END, NOW!!! REMEMBER, WITHOUT FAIR AND HONEST ELECTIONS, AND STRONG AND POWERFUL BORDERS, YOU DON’T HAVE EVEN A SEMBLANCE OF A COUNTRY. THANK YOU FOR YOUR ATTENTION TO THIS MATTER!!! DONALD J. TRUMP, PRESIDENT OF THE UNITED STATES OF AMERICA."" Trump has repeatedly voted by mail, including the 2020 U.S. presidential election that he falsely claims was ""rigged."" There is no evidence of widespread voter fraud associated with mail-in voting. Still, Trump is targeting mail-in voting and voting machines via an executive order ahead of the midterms because he knows Republicans will be curb-stomped in 2026. 🚨BREAKING: Donald Trump announces he will issue an unconstitutional and illegal executive order purporting to ban mail-in voting and certain voting equipment for the 2026 midterm election. Such an effort would violate the Constitution and is a major step to prevent free and fair elections. — Marc Elias (@marcelias.bsky.social) 2025-08-18T12:34:02.726Z This is gibberish — George Pearkes (@peark.es) 2025-08-18T11:18:51.495Z For over 20 years we have been exposing Washington lies and untangling media deceit, but social media is limiting our ability to attract new readers. Please give a one-time or recurring donation, or buy a year's subscription for an ad-free experience. Thank you. To become an ad-free subscriber please select one of the following two options. Once you click your selected plan a window will open taking you to Admiral, our ad-free partner. If you don't mind the ads and would rather donate, please select one of the options below:"
Politics,"The BJP has challenged INDIA bloc parties to dissolve their state assemblies if they doubt the Election Commission's fairness, accusing them of protesting the electoral roll revision in Bihar to shield infiltrators. Sambit Patra criticised opposition leaders like Rahul Gandhi and Tejashwi Yadav, alleging they aim to create chaos and undermine constitutional bodies, driven by frustration over repeated election losses.   Tax shock looms, but ITC’s bigger worry is losing market share to Godfrey Phillips Why high economic growth rate doesn’t translate into high stock returns JSW Infra’s INR1,200-crore shopping of three promoter firms raises eyebrows Why Warren Buffett won't invest in SIPs Scott Adams and the weasel-proof wallet President Murmu hails 'Vande Mataram' on 77th R-Day Heavy snowfall blocks highway in Manali, tourists stranded ‘No one will miss them...’: Bangladesh ruled out of T20 WC EC Prez Costa & EU Chief receive guard of honour American rock climber climbs Taipei 101 skyscraper without ropes 'Campaign of organized brutality': Tim Walz urges Trump to pull ICE 'If Canada makes a deal with China…': EU Chief in India to attend 77th Republic Day as Chief Guest 'Power-hungry traitor': Hasina's sharp attack on Yunus amid B'desh polls Inside Rashtrapati Bhavan: Watch how India prepares for R-Day Parade President Murmu hails 'Vande Mataram' on 77th R-Day Heavy snowfall blocks highway in Manali, tourists stranded ‘No one will miss them...’: Bangladesh ruled out of T20 WC EC Prez Costa & EU Chief receive guard of honour American rock climber climbs Taipei 101 skyscraper without ropes 'Campaign of organized brutality': Tim Walz urges Trump to pull ICE 'If Canada makes a deal with China…': EU Chief in India to attend 77th Republic Day as Chief Guest 'Power-hungry traitor': Hasina's sharp attack on Yunus amid B'desh polls Inside Rashtrapati Bhavan: Watch how India prepares for R-Day Parade Hot on Web In Case you missed it Top Searched Companies Top Calculators Top Definitions Top Slideshow Most Searched IFSC Codes Top Prime Articles Top Story Listing Private Companies Latest News Follow us on: Find this comment offensive? Choose your reason below and click on the Report button. This will alert our moderators to take action Reason for reporting: Your Reason has been Reported to the admin. Log In/Connect with: Will be displayed Will not be displayed Will be displayed Stories you might be interested in"
Politics,"Karnataka Chief Minister Siddaramaiah alleged that the Election Commission of India is working with the ruling party. He claimed the ECI threatened the opposition instead of addressing concerns about vote irregularities. Siddaramaiah questioned the ECI's handling of voter data and CCTV footage. He also raised concerns about voter surges and the ECI's opposition to transparency measures.   Hindustan Zinc has a silver lining. But for how long? What's in a modal verb? A lot. RBI's prescription to make bankruptcy law work Indian IT finally stops window-shopping and heads to the M&A checkout Fly91’s bumpy climb mirrors why genuine airline startups struggle in India Stock Radar: Titan Company stock slips after hitting record highs earlier in January; time to buy the dip? These mid-cap stocks with ‘Strong Buy’ & ‘Buy’ recos can rally over 25%, according to analysts Handshake to hard talk, PM shows courtesy to CM, challenges Left-Congress Kerala witnesses Modi’s magic: ‘Gaaliyan Khata Rahunga, but...' ‘She’s a good woman, a very nice woman...’: Trump praises Machado ‘It’s being negotiated....’: Trump teases US move on Greenland ‘Massive armada moving towards Iran’: Trump warns Iran VP Vance defends ICE arresting 5-yr-old child in Minnesota Zelenskyy questions NATO readiness on Greenland PM Modi flags off Amrit Bharat trains from Thiruvananthapuram 'I’d rather be optimistic and wrong than pessimistic and right' ‘Board Of Peace’ takes off, Pak in, India absent from stage Handshake to hard talk, PM shows courtesy to CM, challenges Left-Congress Kerala witnesses Modi’s magic: ‘Gaaliyan Khata Rahunga, but...' ‘She’s a good woman, a very nice woman...’: Trump praises Machado ‘It’s being negotiated....’: Trump teases US move on Greenland ‘Massive armada moving towards Iran’: Trump warns Iran VP Vance defends ICE arresting 5-yr-old child in Minnesota Zelenskyy questions NATO readiness on Greenland PM Modi flags off Amrit Bharat trains from Thiruvananthapuram 'I’d rather be optimistic and wrong than pessimistic and right' ‘Board Of Peace’ takes off, Pak in, India absent from stage Hot on Web In Case you missed it Top Searched Companies Top Calculators Top Definitions Private Companies Top Slideshow Top Story Listing Top Prime Articles Top Commodities Latest News Follow us on: Find this comment offensive? Choose your reason below and click on the Report button. This will alert our moderators to take action Reason for reporting: Your Reason has been Reported to the admin. Log In/Connect with: Will be displayed Will not be displayed Will be displayed Stories you might be interested in"
Politics,"KUALA LUMPUR: A total of 12 opposition parties have united to create a loose coalition aiming to address the people's concerns, which the Madani Government allegedly has not fulfilled. The Parti Pribumi Bersatu Malaysia (Bersatu) president, Tan Sri Muhyiddin Yassin (pic), stated that although an agreement has been reached, the official name of the coalition would only be announced at a future meeting, reported Sinar Harian. According to him, the coalition involves the Parti Pribumi Bersatu Malaysia (Bersatu), Parti Islam Se-Malaysia (Pas), Parti Gerakan Rakyat Malaysia (Gerakan), Parti Pejuang Tanah Air (Pejuang), Ikatan Demokratik Malaysia (Muda), Parti Rakyat India Malaysia (MIPP), Parti Bumiputera Perkasa Malaysia (Putra), Parti Progresif Penduduk Malaysia (PPP), Barisan Jemaah Islamiah Se-Malaysia (Berjasa), Parti Sosialis Malaysia (PSM), Parti Kemajuan Malaysia (MAP) dan Parti Perikatan India Muslim Nasional (Iman). ""Also participating is an organisation that has not yet been officially registered, Bersepakat Hak Rakyat Malaysia (Urimai),"" he said at a press conference after the Joint Meeting of Opposition Leaders at a hotel here on Monday (Aug 18). He explained that the meeting also agreed for opposition parties to broaden discussions with community groups, including traders, entrepreneurs and sector representatives, to understand their issues and propose the best way to present solutions to the government. ""We are in agreement here; there is not a single party leader who disagrees. These are matters that require attention and priority, including the issue of the 13th Malaysia Plan (RMK13), which is being presented and discussed but is seen as not addressing many of the people's main concerns.” Muhyiddin, who is also the Chairman of Perikatan Nasional (PN), stressed that the formation of the loose coalition was a preliminary step before any other decisions are taken in the future. According to him, the cost of living issue was the main focus of the discussion because it was the biggest burden borne by the people since the unity government took over the country's administration. ALSO READ: Rising costs force more Malaysians to delay retirement, say experts ""Despite the low inflation rate, in many places the price of goods continues to rise. This increase is due to the elimination or restructuring of oil subsidies, which increases logistics costs. ""In addition, the implementation of the sales and service tax (SST), which has been expanded since July 1 to nearly 6,000 types of goods, also adds to the burden on the people,"" he said. ALSO READ: Industry concerns over expanded SST He added that the business sector was also affected, as businessmen complained of incurring higher operating costs, thereby putting pressure on small and medium-sized traders. ""This issue is protracted, especially when the government does not implement reform promises such as eliminating tolls and delaying PTPTN refunds. All this adds to the burden on the people,"" he stressed. When asked about the coalition's cooperation in the upcoming elections, he said things have not been decided specifically. ""But whatever we think, there is a common interest that touches both economic, social, educational and other matters, we can use the platform and discuss together and make a decision together, not one party, but many parties,"" he said.   Thank you for your report! Copyright © 1995-                Star Media Group Berhad [197101000523 (10894-D)] Best viewed on Chrome browsers.  We would love to keep you posted on the latest promotion. Kindly fill the form below We hope you enjoy this feature!"
Politics,"Enforcement Directorate raided Tamil Nadu minister I Periyasamy and his family. The raids happened in Chennai and Dindigul. ED seized property and investment documents. The investigation relates to a disproportionate assets case. The case was filed by Tamil Nadu Directorate of Vigilance and Anti-Corruption. Madras High Court ordered a trial. However, the Supreme Court has stayed the trial.   RBI policy: Can bank credit to REITs burnish their allure? Metals are hot. Why Maruti, M&M, Tata aren’t raising prices then? Indian IT is now chasing private equity for business From charts to chatbots: How retail investors are deciding stocks Jaypee homebuyers' endless agony as ED probes fund diversion Stock Radar: Bandhan Bank stock takes support above 50-DMA; time to buy? India plans to safeguard ‘Chicken’s Neck’ via underground rail Delhi biker falls in unmarked construction pit, loses life RBI MPC raises inflation forecast to 4.2%, revises FY26 growth AAP leader Lucky Oberoi shot dead outside Jalandhar Gurdwara RBI keeps repo rate unchanged at 5.25% RBI raises GDP growth estimate for FY26, upgrades early FY27 outlook 'I get 2 kilos of gaali… works as nutrition': PM Modi accuses Cong 'Energy security supreme priority': MEA replies to Trump's claim... Meghalaya | Coal mine blast claims 18 lives in Jaintia Hills Birla reveals opposition plot to disrupt PM Modi's speech Hot on Web In Case you missed it Top Searched Companies Top Calculators Top Definitions Top Slideshow Most Searched IFSC Codes Top Prime Articles Top Story Listing Private Companies Latest News Follow us on: Find this comment offensive? Choose your reason below and click on the Report button. This will alert our moderators to take action Reason for reporting: Your Reason has been Reported to the admin. Log In/Connect with: Will be displayed Will not be displayed Will be displayed Stories you might be interested in"
Politics,"The Congress party has strongly criticized Chief Election Commissioner Gyanesh Kumar, demanding the Election Commission first prove the integrity of its voter lists in the Supreme Court before seeking an affidavit from Rahul Gandhi regarding alleged irregularities.   Bajaj Finance vs. Tata Capital; how do they stack up RBI policy: Can bank credit to REITs burnish their allure? How IndiGo nearly faced an INR100-crore fine, and escaped it As Budget deepens RBI’s trilemma, it is likely to allow rupee to fall further EU trade pact: Should Tata, Mahindra worry about ‘European invasion’? Stock picks of the week: 5 stocks with consistent score improvement and upside potential of up to 41% 'Our choices remain guided by strategic autonomy': EAM on... MEA S. Jaishankar discusses India-Germany ties at MSC 2026 Nikhil Gupta pleads guilty in US court for murder-for-hire plot... PM Modi lands at Northeast India’s first emergency landing facility PM Modi to open 1.24-km, six-lane bridge over Brahmaputra in Guwahati World heading toward greater multipolarity: Jaishankar at MSC 2026 'Rahul is a habitual liar': Piyush Goyal on impact of US-India deal DGCA fines Air India Rs 1 Crore for operating... Centre spent ₹1,500 cr on ministry buildings rent: PM Modi India to host world’s biggest AI Summit: Ashwini Vaishnaw Hot on Web In Case you missed it Top Searched Companies Top Calculators Top Commodities Private Companies Top Slideshow Top Prime Articles Top Definitions Top Story Listing Latest News Follow us on: Find this comment offensive? Choose your reason below and click on the Report button. This will alert our moderators to take action Reason for reporting: Your Reason has been Reported to the admin. Log In/Connect with: Will be displayed Will not be displayed Will be displayed Stories you might be interested in"
Politics,"DMK leader TKS Elangovan criticized the BJP's nomination of CP Radhakrishnan for Vice President, alleging it's a ploy to gain electoral advantage in Tamil Nadu ahead of the 2026 Assembly elections. He questioned the BJP's commitment to Tamil culture, citing the Keeladi excavation controversy.  Vice-President polls: BJP-led NDA picks Maharashtra governor CP Radhakrishnan  Bajaj Finance vs. Tata Capital; how do they stack up RBI policy: Can bank credit to REITs burnish their allure? How IndiGo nearly faced an INR100-crore fine, and escaped it As Budget deepens RBI’s trilemma, it is likely to allow rupee to fall further EU trade pact: Should Tata, Mahindra worry about ‘European invasion’? Stock picks of the week: 5 stocks with consistent score improvement and upside potential of up to 41% 'Our choices remain guided by strategic autonomy': EAM on... MEA S. Jaishankar discusses India-Germany ties at MSC 2026 Nikhil Gupta pleads guilty in US court for murder-for-hire plot... PM Modi lands at Northeast India’s first emergency landing facility PM Modi to open 1.24-km, six-lane bridge over Brahmaputra in Guwahati World heading toward greater multipolarity: Jaishankar at MSC 2026 'Rahul is a habitual liar': Piyush Goyal on impact of US-India deal DGCA fines Air India Rs 1 Crore for operating... Centre spent ₹1,500 cr on ministry buildings rent: PM Modi India to host world’s biggest AI Summit: Ashwini Vaishnaw Hot on Web In Case you missed it Top Searched Companies Top Calculators Top Definitions Top Prime Articles Private Companies Top Slideshow Top Story Listing Top Commodities Top Market Pages Latest News Follow us on: Find this comment offensive? Choose your reason below and click on the Report button. This will alert our moderators to take action Reason for reporting: Your Reason has been Reported to the admin. Log In/Connect with: Will be displayed Will not be displayed Will be displayed Stories you might be interested in"
Politics,"August 18, 2025 13:35 IST 'In consultations, several stakeholders, including athlete representatives and smaller federations, highlighted that overly restrictive eligibility rules tended to entrench incumbents and limit opportunities for fresh leadership.'  Aspirants for the top positions in national federations will be required to serve just one term in the Executive Committee, instead of the ""overly restrictive"" eligibility rule of two terms prescribed earlier, as the Sports Ministry wants to encourage ""younger administrators and athlete-leaders"". The National Sports Governance Bill, which was passed by the Parliament last week and now awaits the presidential assent to formally become an act, lays down the criteria for seeking election to the positions of President, Secretary and Treasurer in the National Sports Federations (NSFs). It originally mandated two terms in the Executive Committee for anyone aspiring for the top three posts. This provision has been relaxed through an amendment, making it a minimum of one term after consultations with stakeholders. Sports Minister Mansukh Mandaviya, in an interview to PTI after the passing of the amended bill last week, said the change creates the balance needed to ensure a bigger competitive field of administrators. ""The decision to reduce the minimum prior term requirement for contesting federation elections was guided by the principle of broadening the pool of eligible and capable candidates, while still ensuring they have sufficient experience to serve effectively,"" he reasoned. ""In consultations, several stakeholders, including athlete representatives and smaller federations, highlighted that overly restrictive eligibility rules tended to entrench incumbents and limit opportunities for fresh leadership,"" Mandaviya pointed out. The relaxation ensures that current Indian Olympic Association (IOA) President P T Usha and All India Football Federation chief Kalyan Chaubey will be able to seek a re-election if they decide. Both have served one term in the Executive Committees of their respective bodies. The revised provision also makes room for presidents, secretaries and treasurers in state bodies to stake claim for leadership roles in the NSFs, widening the scope of competition at election time. The Minister said reducing the minimum term requirement in the EC would ensure that a wider talent base is available without compromising on the principles of continuity and experience. ""In some cases, talented administrators and former athletes with strong governance potential were unable to contest simply because they had not served a full earlier term on the Executive Committee. ""The amendment strikes a balance by keeping an experience requirement to preserve continuity and institutional memory, but lowering the threshold so that federations can draw from a wider range of candidates, including younger administrators and athlete-leaders,"" he said. ""This change is intended to encourage infusion of new perspectives, foster healthy competition in leadership contests, and reduce the concentration of power that often comes from closed eligibility rules,"" he added. The sports bill, which had been waiting in the wings for over a decade, was passed after extensive consultations held over one year. It not just lays down governance criteria but also mandates the creation of a National Sports Tribunal for speedy dispute resolution. In addition, it also calls for the creation of a National Sports Election Panel to oversee NSF polls that are often mired in controversies. 9 Aphrodisiac Recipes To Spice Up Your Life 8 Questions To Ask Your Date. 8 Questions To A-V-O-I-D Get Fizzical! 9 Ultimate Cocktail Recipes  NEWS BUSINESS MOVIES CRICKET SPORTS GET AHEAD REDIFF MONEY REDIFF-TV REDIFF ASTRO MOBILE RECHARGE BILL PAYMENTS"
Politics,"The Sports Ministry's amended National Sports Governance Bill, awaiting presidential approval, relaxes eligibility rules for top NSF positions, now requiring only one Executive Committee term instead of two. This change aims to encourage younger administrators and athlete-leaders by broadening the pool of eligible candidates.   Metals are hot. Why Maruti, M&M, Tata aren’t raising prices then? How India’s STT evolved and why raising it now pinches Why Boeing is keenly watching Adani-Embraer joint venture From charts to chatbots: How retail investors are deciding stocks Return of golden share: An INR12.5 lakh cr bonanza from PSU shares awaits govt These large- and mid-cap stocks can have an upside potential of more than 24% in 1 year, according to analysts 'Got India's commitment to stop buying Russian oil,' claims Marco Rubio India-Pak T20 showdown: 'It should be high voltage...,' says Ganguly Maha Shivratri: Devotees offer prayers at Shiva temples across the country ‘Russia-Ukraine war enabled by China,’ US NATO Envoy urges Beijing to step in 'Our choices remain guided by strategic autonomy': EAM on... MEA S. Jaishankar discusses India-Germany ties at MSC 2026 Nikhil Gupta pleads guilty in US court for murder-for-hire plot... PM Modi lands at Northeast India’s first emergency landing facility PM Modi to open 1.24-km, six-lane bridge over Brahmaputra in Guwahati World heading toward greater multipolarity: Jaishankar at MSC 2026 Hot on Web In Case you missed it Top Searched Companies Top Calculators Top Prime Articles Top Definitions Top Slideshow Top Commodities Top Story Listing Private Companies Top Market Pages Latest News Follow us on: Find this comment offensive? Choose your reason below and click on the Report button. This will alert our moderators to take action Reason for reporting: Your Reason has been Reported to the admin. Log In/Connect with: Will be displayed Will not be displayed Will be displayed Stories you might be interested in"
Politics,"Opposition MPs, led by Mallikarjun Kharge, protested at Parliament against the Election Commission's voter roll revision in Bihar, alleging voter disenfranchisement. They raised slogans and displayed banners demanding an end to ""vote chori."" Akhilesh Yadav accused the EC of deleting backward community voters to benefit the BJP.   How pension funds flow into equity ETFs skewing markets Can Mahindra’s playbook scale up this big boy of school buses? How the ‘barbaric relic’ turned boon for millions of SMEs in India Indian IT is now chasing private equity for business Indus Tower stock hits fresh record highs in February; what should traders do? Time to start thinking like a contrarian? 5 small-caps from different sectors with upside potential of up to 24% GST even after death! FM Sitharaman blasts TMC MP over fake claims Trump says 'nothing definitive' reached after meeting with Netanyahu Hardeep Singh Puri recalls Rahul Gandhi's 'Wink'... Rahul vs Rijiju: Centre to move privilege notice against LoP Rahul Gandhi questions why Anil Ambani isn't in jail... No-confidence row: ‘Flawed’ notice from opposition may face rejection Brahmaputra boosts Tata semiconductor project in Assam French Prez Macron in India from Feb 17 for 3-day visit 'Qayamat Tak Nahi Ban Payegi Babri...': CM Yogi's big statement Buddhist monks on final leg of 2,300-mile walk for peace Hot on Web In Case you missed it Top Searched Companies Top Calculators Most Searched IFSC Codes Top Prime Articles Top Definitions Top Slideshow Private Companies Top Story Listing Latest News Follow us on: Find this comment offensive? Choose your reason below and click on the Report button. This will alert our moderators to take action Reason for reporting: Your Reason has been Reported to the admin. Log In/Connect with: Will be displayed Will not be displayed Will be displayed Stories you might be interested in"
